Year,Week,ABW,AIA,ARG,ATG,BHS,BLM,BLZ,BMU,BOL,BRA,BRB,CAN,CHL,COL,CRI,CUB,CUW,CYM,DMA,DOM,ECU,GLP,GRD,GTM,GUF,GUY,HND,HTI,JAM,KNA,LCA,MAF,MEX,MSR,MTQ,NIC,PAN,PER,PRI,PRY,SLV,SUR,SXM,TCA,TTO,URY,USA,VCT,VEN,VGB,VIR
2013,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2014,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0
2014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0
2014,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0
2014,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,41,0,0,0,0,0,0,5,0
2014,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,272,0,0,1,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,66,0,0,0,0,0,0,5,0
2014,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,354,0,0,2,0,0,0,0,1,0,0,0,0,973,0,0,0,0,0,0,0,66,0,0,0,0,0,0,5,0
2014,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,495,0,0,10,0,0,0,0,1,0,0,0,0,1088,0,0,0,0,0,0,0,66,0,0,0,0,0,0,5,0
2014,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,1955,0,0,35,0,0,0,0,1,0,0,0,0,5028,0,0,0,0,0,0,0,116,0,0,0,0,0,0,7,0
2014,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,2348,0,0,35,0,0,0,0,1,0,0,0,0,6768,0,0,0,0,0,0,0,116,0,0,0,0,0,0,7,0
2014,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,2565,0,0,35,0,0,0,0,1,0,0,0,0,8801,0,0,0,0,0,0,0,116,0,0,0,0,0,0,7,0
2014,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,3023,0,0,35,0,0,0,0,1,0,0,0,0,10577,0,0,0,0,0,0,0,124,0,0,0,0,0,0,7,0
2014,14,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,0,3558,0,0,35,0,0,0,0,1,0,0,0,0,12714,0,0,0,0,0,0,0,124,0,0,0,0,0,0,7,0
2014,15,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,0,0,4651,0,0,35,0,0,0,0,1,0,0,0,0,14814,0,0,0,0,0,0,0,124,0,0,0,0,0,0,7,0
2014,16,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,784,0,5990,0,0,35,0,0,0,0,1,0,0,0,0,17503,0,0,0,0,0,0,0,124,0,0,0,0,0,0,9,0
2014,17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,3032,0,7347,0,0,35,0,0,0,0,1,0,0,0,0,19175,0,0,0,0,0,0,0,124,0,0,0,0,27,0,9,0
2014,18,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,7537,0,9347,0,0,43,0,0,0,0,1,0,0,0,0,21245,0,0,0,0,0,0,0,124,0,0,0,0,27,0,9,0
2014,19,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,8034,0,11947,0,0,59,0,0,14,0,1,4,0,0,0,23365,0,0,0,0,0,0,0,124,0,0,0,0,27,0,20,0
2014,20,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698,8034,0,14947,0,0,100,0,0,632,0,1,4,0,0,0,25725,0,0,0,0,0,0,0,124,0,0,0,0,27,0,20,0
2014,21,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,8034,0,19347,0,0,154,0,0,3466,0,21,4,0,0,0,28215,0,0,0,0,0,0,0,124,0,0,0,0,167,0,20,0
2014,22,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,38656,0,24447,0,0,200,2,0,6318,0,22,4,0,0,0,30745,0,0,0,1,0,0,0,124,0,0,0,0,167,0,20,0
2014,23,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,52993,0,29667,0,0,200,16,0,11816,0,22,243,0,0,0,33265,0,0,0,1,0,0,0,124,0,0,0,0,279,0,20,0
2014,24,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620,77338,0,36347,0,0,200,16,0,11816,0,22,243,0,0,0,36545,0,0,0,1,0,0,0,124,2,0,0,0,279,0,20,1
2014,25,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620,89738,0,41747,0,0,304,16,0,11816,0,22,243,0,0,0,36545,0,0,0,23,0,0,0,124,2,0,0,0,279,0,20,1
2014,26,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3242,135853,0,41747,5,0,304,16,0,39357,0,59,243,0,0,0,36545,0,0,0,139,0,1300,13,124,2,0,0,0,396,0,20,1
2014,27,2,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3242,165451,0,41747,5,0,304,16,0,51844,0,59,244,0,0,0,36545,0,0,0,228,0,1512,13,124,2,0,0,0,396,0,20,5
2014,28,2,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3242,193413,0,53347,5,0,385,16,0,51844,0,59,244,0,0,0,45095,0,0,0,408,0,1608,13,124,10,0,0,0,396,0,20,5
2014,29,2,32,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3242,251951,0,64347,5,0,665,16,0,62436,0,59,244,0,0,0,50485,0,0,0,685,0,1783,13,124,10,0,0,2,396,2,20,5
2014,30,2,33,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3700,281921,0,64350,5,0,665,16,0,64709,0,59,244,0,0,0,50485,0,1,0,858,0,1977,13,124,10,0,0,2,396,9,20,5
2014,31,2,38,0,4,13,0,0,0,0,0,1,0,0,0,1,0,0,1,3700,307933,0,71090,5,0,1283,16,0,64709,0,59,244,0,0,0,54105,0,1,0,1248,0,2353,24,124,10,2,0,2,396,30,20,5
2014,32,2,38,0,4,13,0,0,0,0,0,1,0,0,0,1,0,9,1,3700,370212,0,71090,5,0,1283,16,0,64709,2,59,244,0,0,0,54105,0,1,0,1982,0,2353,24,124,10,2,0,4,396,35,20,5
2014,33,2,38,0,4,13,1002,0,0,0,0,1,0,0,0,1,0,9,1,3700,370212,0,74470,5,0,1754,16,0,64709,6,59,244,4653,0,0,57465,0,1,0,3239,0,3583,24,124,10,2,0,4,396,82,20,5
2014,34,4,38,0,4,13,1002,0,0,0,0,74,0,0,0,1,0,14,1,3700,370212,0,74470,5,0,1754,16,0,64709,6,59,244,4653,0,0,57465,0,1,0,4716,0,5114,24,124,10,2,0,4,396,82,20,239
2014,35,4,38,0,4,13,1042,0,0,0,0,74,0,0,0,1,0,14,1,3700,429492,0,76750,5,0,2206,16,0,64709,15,59,244,4783,0,0,60985,0,1,0,5286,0,8040,24,124,10,2,0,6,396,125,20,336
2014,36,4,38,0,4,13,1042,0,0,0,0,80,0,0,0,1,0,14,1,3700,429492,0,76750,5,0,2206,16,0,64709,15,59,244,4783,0,0,60985,0,1,0,6252,0,8040,24,124,10,2,0,7,396,125,20,445
2014,37,4,38,0,4,13,1042,0,0,0,0,80,0,0,0,1,0,14,1,3700,429492,0,76750,5,0,2206,16,0,64709,15,59,244,4783,0,0,60985,0,1,0,6252,0,8040,24,124,10,2,0,7,396,125,20,445
2014,38,4,38,0,4,13,1042,0,0,0,0,80,0,0,0,1,0,14,1,3700,429492,0,76750,5,0,2206,16,0,64709,15,59,244,4783,0,0,60985,0,1,0,6252,0,8040,24,124,10,2,0,7,396,125,20,445
2014,39,104,38,0,697,79,1127,0,0,0,2,80,0,0,4697,1,0,665,1,3700,486390,0,78572,5,8,6168,76,0,64709,222,59,334,4963,0,0,65795,0,10,0,9446,0,16443,594,361,10,43,0,11,396,1169,20,779
2014,40,104,38,0,697,79,1127,0,0,0,16,80,0,0,6175,1,0,665,1,3700,486390,0,78572,5,8,6168,76,0,64709,246,59,334,4963,0,0,65795,0,10,0,10341,0,16443,594,361,10,43,0,11,396,1169,20,884
2014,41,104,38,0,697,79,1167,0,0,0,16,80,0,0,6175,1,0,665,1,3700,486390,0,80262,5,473,8613,76,0,64709,382,59,334,5033,0,0,67985,0,10,0,12943,0,16443,594,361,10,43,0,11,396,1169,20,957
2014,42,126,38,0,1267,79,1167,0,0,0,173,485,0,0,13626,1,0,665,20,3737,486390,0,80262,1653,473,8613,76,0,64709,382,59,334,5033,0,6,67985,1,10,0,14444,0,16443,836,373,10,93,0,11,396,1169,20,957
2014,43,126,45,0,1267,79,1202,0,0,0,173,586,0,0,16960,1,0,665,25,3916,486390,0,80822,2852,473,9663,76,0,64709,776,59,334,5123,0,6,69885,1,10,0,16198,0,16443,836,373,10,93,0,11,494,7400,44,1009
2014,44,172,45,0,1267,79,1202,0,0,0,173,586,0,0,19703,1,0,665,25,3916,486390,0,80822,2852,473,9663,76,0,64709,776,59,334,5123,0,13,69885,61,10,0,17732,1,16443,836,403,10,93,0,11,494,7400,44,1069
2014,45,190,45,0,1394,79,1202,0,0,0,173,878,0,0,19771,1,0,1999,25,3916,499000,0,80822,2852,473,11497,76,194,64709,966,59,334,5123,1,13,69885,320,235,0,18992,1,93274,836,403,10,93,0,11,494,7400,44,1069
2014,46,190,45,0,1394,79,1202,0,0,0,173,878,0,0,19771,1,0,1999,25,3916,499000,0,80822,2852,473,11497,76,194,64709,966,59,334,5123,1,13,69885,320,235,0,18992,1,93274,836,403,10,93,0,11,494,7400,44,1069
2014,47,190,45,0,1394,79,1202,0,0,0,173,878,0,0,19771,1,0,1999,25,3916,499000,0,80822,2852,473,11497,76,194,64709,966,59,334,5123,1,13,69885,320,235,0,18992,1,93274,836,403,10,93,0,11,494,7400,44,1069
2014,48,190,45,0,1394,79,1202,0,0,0,173,878,0,0,19771,1,0,1999,25,3916,499000,0,80822,2852,473,11497,76,194,64709,966,59,334,5123,1,13,69885,320,235,0,18992,1,93274,836,403,10,93,0,11,494,7400,44,1069
2014,49,309,49,0,1417,79,1202,3,0,0,173,1591,0,0,39501,1,0,2673,25,3916,499000,0,81414,2852,628,13192,76,1390,64709,1279,459,897,5123,74,19,79890,542,235,0,24445,1,135383,1210,426,19,177,0,11,1389,28317,44,1446
2014,50,348,80,0,1417,79,1202,3,10,0,2095,1601,0,0,45890,7,0,2673,185,3916,524381,0,81414,3096,628,13192,76,1390,64709,1279,459,897,5123,74,73,79890,2140,235,0,26181,1,135383,1210,471,19,177,0,11,1389,28317,394,1477
2014,51,416,80,0,1432,92,1535,3,10,0,2095,1641,0,0,53201,198,0,2673,193,3916,524381,0,81652,3096,22057,14070,76,1390,64709,1281,459,897,5623,82,73,79890,3516,235,0,26181,1,135383,1210,471,19,177,0,11,1389,36945,394,2276
2014,52,416,80,0,1432,92,1535,3,10,0,2095,1641,0,0,74566,198,0,2673,193,3916,524381,3,81652,3096,22057,14070,76,4081,64709,1457,459,897,5623,131,73,79890,3516,235,0,28274,1,135383,1210,471,19,177,0,11,1389,36945,394,2276
2015,1,416,80,0,1432,95,1535,3,10,0,2095,1641,0,0,74566,198,0,2673,193,3916,524381,3,81652,3096,22057,14070,76,4081,64709,1457,459,897,5623,131,73,79890,3516,235,0,28274,1,135383,1210,471,19,177,0,11,1389,36945,394,2276
2015,2,416,80,0,1432,95,1535,3,10,0,2095,1641,0,0,74566,255,0,2673,193,3916,524381,3,81652,3096,22057,14070,76,4081,64709,1593,459,897,5623,131,73,79890,4645,235,0,28274,1,135383,1210,471,19,177,0,11,1389,36945,394,2276
2015,3,416,80,0,1432,95,1535,3,10,0,2095,1641,0,0,96837,255,0,2673,199,3916,524381,3,81652,3096,22057,14070,5415,4081,64709,1617,459,897,5623,131,73,79890,4645,235,0,28274,1,135383,1210,471,19,177,0,11,1389,36945,394,2276
2015,4,878,90,0,1432,95,1535,3,10,0,2095,1725,0,0,110846,255,0,2673,202,3916,524381,3,81652,3096,22057,16279,5415,4081,64709,1651,459,897,5623,143,73,79890,4645,235,0,28302,1,137655,1210,471,19,177,0,11,1389,36945,394,2276
2015,5,878,95,0,1432,95,1807,3,10,0,2095,1725,0,0,126906,285,0,2673,202,3916,524381,69,81652,3096,22057,16279,5415,4081,64709,1680,459,897,6073,174,73,79890,4645,235,0,28390,1,137655,1210,471,19,189,0,11,1389,36945,394,2276
2015,6,878,98,0,1446,100,1832,3,10,13,2122,1725,0,0,142259,285,0,2673,205,3916,524381,69,81652,3096,22057,18499,5415,4081,64709,1680,459,897,6073,182,85,79890,4645,235,0,28397,9,138774,1210,471,19,189,0,11,1414,36945,394,2276
2015,7,878,98,0,1446,100,1832,3,10,13,2937,1725,0,0,156919,285,0,2673,205,3916,524381,69,81652,3096,22057,18499,5415,4081,64709,1680,459,897,6073,217,85,79890,4645,235,0,28446,36,138774,1210,471,19,189,0,11,1414,36945,394,2276
2015,8,878,98,0,1446,100,1832,3,10,13,2937,1725,0,0,168509,412,0,2673,255,3916,524381,69,81652,3096,22057,19148,5415,5637,64709,1680,459,897,6073,217,85,79890,4645,235,0,28504,129,143172,1210,471,19,189,0,11,1414,36945,394,2276
2015,9,878,101,0,1446,100,1832,3,10,74,2937,1725,0,0,178949,418,0,2673,255,3916,524381,202,81652,3096,22057,19148,5415,5637,64709,1680,459,897,6073,331,85,79890,4645,235,0,28504,129,143503,1210,471,19,189,0,11,1414,36945,394,2276
2015,10,878,101,0,1448,100,1852,3,10,217,2937,1881,0,0,188898,428,0,2673,255,3916,524411,272,81802,3096,22057,19576,5415,5637,64709,1680,459,897,6113,350,85,80210,4645,235,0,28504,271,143878,1210,471,19,189,0,11,1414,36945,394,2580
2015,11,878,101,0,1448,100,1852,3,10,388,4198,1881,0,0,203536,428,0,2673,255,3916,524420,272,81802,3096,22057,20544,5415,16902,64709,1680,459,897,6113,381,85,80210,4645,235,0,28504,304,144184,1210,471,19,189,0,11,1414,36945,394,2580
